dow jone industri averag close 127 point see nasdaq 
dow trade lower momentum china ralli fade nasdaq rise 
dow fall 100 point bank america lead financi share lower 
stock close lower investor brace earn delug tech buoy nasdaq 
dow sp fall earn season pick tech boost nasdaq 
3m compani report earn death cross 
dow jone futur leader break 50day line stock market correct 
