dow jone stock procter gambl break 
dow drop 22 like 1987 would mean loss 5700 point today 
dow jone industri averag dji communicationservic stock tank 
stock rebound appl pg disney lead dow higher 
chines stock notch best day sinc august offici calm worri market economi 
dow gain 65 point still miser friday 
