dow end 282 point friday finish volatil week 4 
tech stock ralli help snap lose streak rough week end 
dow end higher friday cant eras week rout 
stock market nightmar may far 
dow soar 287 point still suffer worst week sinc march 
dow regain week loss 
dow wipe 400point open gain briefli turn neg power revers 
dow gain 170 point stock rage die light 
troubl lurk stock market onethird sp 500 trade bear territori 
3 reason shouldnt worri wednesday 832point drop dow motley fool 
